ID,X,Y,DATA1,DATA2,DATA3,ISZONE,ISINTERSEC,LABEL
76208,301035.0,5054002.0,1.0,0.0,0.0,0,0,0000
76209,300280.0,5052780.0,1.0,0.0,0.0,0,0,0000
76210,300246.0,5052727.0,1.0,0.0,0.0,0,0,0000
76211,300123.0,5052528.0,1.0,0.0,0.0,0,0,0000
76212,300050.0,5052810.0,1.0,0.0,0.0,0,0,0000
76217,300164.0,5052698.0,1.0,0.0,0.0,0,1,0000
76222,300360.0,5052578.0,1.0,0.0,0.0,0,1,0000
76223,300357.0,5052669.0,1.0,0.0,0.0,0,0,0000
76226,300319.0,5052603.0,1.0,0.0,0.0,0,1,0000
76227,301141.0,5054032.0,1.0,0.0,0.0,0,1,0000
76228,301194.0,5053997.0,1.0,0.0,0.0,0,0,0000
76229,301144.0,5053920.0,1.0,0.0,0.0,0,0,0000
76230,301101.0,5053904.0,1.0,0.0,0.0,0,0,0000
76231,300898.0,5054029.0,1.0,0.0,0.0,0,0,0000
76232,300928.0,5054076.0,1.0,0.0,0.0,0,0,0000
76233,301016.0,5054042.0,1.0,0.0,0.0,0,1,0000
76234,302644.0,5056416.0,1.0,0.0,0.0,0,0,0000
76235,302777.0,5056366.0,1.0,0.0,0.0,0,1,0000
76236,302734.0,5056452.0,1.0,0.0,0.0,0,0,0000
76237,302713.0,5056407.0,1.0,0.0,0.0,0,1,0000
76241,302645.0,5056450.0,1.0,0.0,0.0,0,1,0000
76242,302560.0,5056503.0,1.0,0.0,0.0,0,1,0000
76245,302542.0,5056588.0,1.0,0.0,0.0,0,0,0000
76246,302441.0,5056582.0,1.0,0.0,0.0,0,1,0000
76247,302497.0,5056543.0,1.0,0.0,0.0,0,1,0000
76248,302530.0,5056482.0,1.0,0.0,0.0,0,0,0000
76253,303087.0,5057720.0,1.0,0.0,0.0,0,0,0000
76254,297411.0,5059302.0,1.0,0.0,0.0,0,0,0000
76255,303347.0,5058856.0,1.0,0.0,0.0,0,0,0000
76259,303741.0,5058152.0,1.0,0.0,0.0,0,0,0000
76260,303260.0,5057847.0,1.0,0.0,0.0,0,0,0000
76261,303176.0,5057702.0,1.0,0.0,0.0,0,0,0000
76262,303181.0,5057558.0,1.0,0.0,0.0,0,0,0000
76263,303040.0,5057663.0,1.0,0.0,0.0,0,0,0000
76264,303137.0,5057651.0,1.0,0.0,0.0,0,0,0000
76267,303251.0,5057760.0,1.0,0.0,0.0,0,0,0000
76268,303439.0,5057767.0,1.0,0.0,0.0,0,0,0000
76269,300417.0,5053446.0,1.0,0.0,0.0,0,0,0000
76270,300281.0,5052547.0,1.0,0.0,0.0,0,0,0000
76271,303166.0,5057382.0,1.0,0.0,0.0,0,0,0000
76278,303137.0,5061630.0,1.0,0.0,0.0,0,0,0000
76281,301923.0,5059497.0,1.0,0.0,0.0,0,0,0000
76282,301671.0,5059244.0,1.0,0.0,0.0,0,0,0000
76283,305211.0,5061975.0,1.0,0.0,0.0,0,0,0000
76284,301526.0,5059121.0,1.0,0.0,0.0,0,0,0000
76285,301565.0,5059043.0,1.0,0.0,0.0,0,0,0000
76286,301023.0,5058731.0,1.0,0.0,0.0,0,0,0000
76287,298089.0,5056038.0,1.0,0.0,0.0,0,0,0000
76288,298398.0,5056303.0,1.0,0.0,0.0,0,0,0000
76289,298646.0,5056602.0,1.0,0.0,0.0,0,0,0000
