ID,JNODE,INODE,KNODE,TPF,DATA1,DATA2,DATA3,VOLAU,VOLAD,TIMAU
10724-10721-10725,10721,10724,10725,0,0.0,0.0,0.0,0.0,0.0,-1.0
10739-10740-10739,10740,10739,10739,0,0.0,0.0,0.0,0.0,0.0,-1.0
10739-10740-10741,10740,10739,10741,-1,0.0,0.0,0.0,95.935783,0.0,0.0
10742-10740-10739,10740,10742,10739,-1,0.0,0.0,0.0,4.0991187,0.0,0.0
10742-10740-10741,10740,10742,10741,0,0.0,0.0,0.0,0.0,0.0,-1.0
10746-10751-10745,10751,10746,10745,-1,0.0,0.0,0.0,6.8225236,0.0,0.0
10746-10751-10746,10751,10746,10746,0,0.0,0.0,0.0,0.0,0.0,-1.0
10748-10751-10745,10751,10748,10745,0,0.0,0.0,0.0,0.0,0.0,-1.0
10748-10751-10746,10751,10748,10746,-1,0.0,0.0,0.0,12.612568,0.0,0.0
10666-10762-10666,10762,10666,10666,0,0.0,0.0,0.0,0.0,0.0,-1.0
10666-10762-10770,10762,10666,10770,-1,0.0,0.0,0.0,55.026684,0.0,0.0
10666-10762-95002,10762,10666,95002,-1,0.0,0.0,0.0,20.939026,0.0,0.0
10759-10762-10666,10762,10759,10666,-1,0.0,0.0,0.0,53.906685,0.0,0.0
10759-10762-10770,10762,10759,10770,0,0.0,0.0,0.0,0.0,0.0,-1.0
10759-10762-95002,10762,10759,95002,-1,0.0,0.0,0.0,0.0,0.0,0.0
95002-10762-10666,10762,95002,10666,-1,0.0,0.0,0.0,121.60407,0.0,0.0
95002-10762-10770,10762,95002,10770,-1,0.0,0.0,0.0,0.0,0.0,0.0
95002-10762-95002,10762,95002,95002,0,0.0,0.0,0.0,0.0,0.0,-1.0
10752-10771-10753,10771,10752,10753,-1,0.0,0.0,0.0,121.60407,0.0,0.0
10752-10771-10756,10771,10752,10756,0,0.0,0.0,0.0,0.0,0.0,-1.0
10753-10771-10753,10771,10753,10753,0,0.0,0.0,0.0,0.0,0.0,-1.0
10753-10771-10756,10771,10753,10756,-1,0.0,0.0,0.0,20.939026,0.0,0.0
10781-10786-10782,10786,10781,10782,-1,0.0,0.0,0.0,82.599487,0.0,0.0
10781-10786-10785,10786,10781,10785,0,0.0,0.0,0.0,0.0,0.0,-1.0
10781-10786-10793,10786,10781,10793,-1,0.0,0.0,0.0,96.733604,0.0,0.0
10781-10786-86186,10786,10781,86186,-1,0.0,0.0,0.0,0.0,0.0,0.0
10782-10786-10782,10786,10782,10782,0,0.0,0.0,0.0,0.0,0.0,-1.0
10782-10786-10785,10786,10782,10785,-1,0.0,0.0,0.0,95.554794,0.0,0.0
10782-10786-10793,10786,10782,10793,-1,0.0,0.0,0.0,3.0047021,0.0,0.0
10782-10786-86186,10786,10782,86186,-1,0.0,0.0,0.0,0.0,0.0,0.0
10793-10786-10782,10786,10793,10782,-1,0.0,0.0,0.0,10.282969,0.0,0.0
10793-10786-10785,10786,10793,10785,-1,0.0,0.0,0.0,0.0,0.0,0.0
10793-10786-10793,10786,10793,10793,0,0.0,0.0,0.0,0.0,0.0,-1.0
10793-10786-86186,10786,10793,86186,-1,0.0,0.0,0.0,3.5534058,0.0,0.0
86186-10786-10782,10786,86186,10782,-1,0.0,0.0,0.0,0.0,0.0,0.0
86186-10786-10785,10786,86186,10785,-1,0.0,0.0,0.0,0.0,0.0,0.0
86186-10786-10793,10786,86186,10793,-1,0.0,0.0,0.0,13.685117,0.0,0.0
86186-10786-86186,10786,86186,86186,0,0.0,0.0,0.0,0.0,0.0,-1.0
10786-10793-10784,10793,10786,10784,-1,0.0,0.0,0.0,113.42342,0.0,0.0
10786-10793-10786,10793,10786,10786,0,0.0,0.0,0.0,0.0,0.0,-1.0
10792-10793-10784,10793,10792,10784,0,0.0,0.0,0.0,0.0,0.0,-1.0
10792-10793-10786,10793,10792,10786,-1,0.0,0.0,0.0,13.836375,0.0,0.0
86063-10798-86087,10798,86063,86087,-1,0.0,0.0,0.0,29.218214,0.0,0.0
86063-10798-86088,10798,86063,86088,0,0.0,0.0,0.0,0.0,0.0,-1.0
86087-10798-86087,10798,86087,86087,0,0.0,0.0,0.0,0.0,0.0,-1.0
86087-10798-86088,10798,86087,86088,-1,0.0,0.0,0.0,10.438763,0.0,0.0
10863-10862-10857,10862,10863,10857,0,0.0,0.0,0.0,0.0,0.0,-1.0
10863-10862-10867,10862,10863,10867,-1,0.0,0.0,0.0,43.584164,0.0,0.0
10863-10862-10868,10862,10863,10868,-1,0.0,0.0,0.0,3.664995,0.0,0.0
10867-10862-10857,10862,10867,10857,-1,0.0,0.0,0.0,0.0,0.0,0.0
10867-10862-10867,10862,10867,10867,0,0.0,0.0,0.0,0.0,0.0,-1.0
10867-10862-10868,10862,10867,10868,-1,0.0,0.0,0.0,18.146318,0.0,0.0
10868-10862-10857,10862,10868,10857,-1,0.0,0.0,0.0,0.0716242,0.0,0.0
10868-10862-10867,10862,10868,10867,-1,0.0,0.0,0.0,0.2440821,0.0,0.0
10868-10862-10868,10862,10868,10868,0,0.0,0.0,0.0,0.0,0.0,-1.0
10860-10868-10858,10868,10860,10858,0,0.0,0.0,0.0,0.0,0.0,-1.0
10860-10868-10862,10868,10860,10862,-1,0.0,0.0,0.0,0.0,0.0,0.0
10860-10868-10869,10868,10860,10869,-1,0.0,0.0,0.0,0.1576056,0.0,0.0
10862-10868-10858,10868,10862,10858,-1,0.0,0.0,0.0,17.966152,0.0,0.0
10862-10868-10862,10868,10862,10862,0,0.0,0.0,0.0,0.0,0.0,-1.0
10862-10868-10869,10868,10862,10869,-1,0.0,0.0,0.0,3.8451624,0.0,0.0
10869-10868-10858,10868,10869,10858,-1,0.0,0.0,0.0,5.0170383,0.0,0.0
10869-10868-10862,10868,10869,10862,-1,0.0,0.0,0.0,0.3157063,0.0,0.0
10869-10868-10869,10868,10869,10869,0,0.0,0.0,0.0,0.0,0.0,-1.0
10891-10890-10889,10890,10891,10889,-1,0.0,0.0,0.0,67.025497,0.0,0.0
10891-10890-10892,10890,10891,10892,0,0.0,0.0,0.0,0.0,0.0,-1.0
98007-10890-10889,10890,98007,10889,-1,0.0,0.0,0.0,1.0464151,0.0,0.0
98007-10890-10892,10890,98007,10892,-1,0.0,0.0,0.0,56.147873,0.0,0.0
10955-10951-10954,10951,10955,10954,0,0.0,0.0,0.0,0.0,0.0,-1.0
10955-10951-27000,10951,10955,27000,-1,0.0,0.0,0.0,73.518867,0.0,0.0
27000-10951-10954,10951,27000,10954,-1,0.0,0.0,0.0,52.249317,0.0,0.0
27000-10951-27000,10951,27000,27000,0,0.0,0.0,0.0,0.0,0.0,-1.0
11300-11293-11308,11293,11300,11308,0,0.0,0.0,0.0,0.0,0.0,-1.0
11300-11293-11315,11293,11300,11315,-1,0.0,0.0,0.0,0.3091862,0.0,0.0
11308-11293-11308,11293,11308,11308,0,0.0,0.0,0.0,0.0,0.0,-1.0
11308-11293-11315,11293,11308,11315,-1,0.0,0.0,0.0,0.0,0.0,0.0
11315-11293-11308,11293,11315,11308,-1,0.0,0.0,0.0,0.0,0.0,0.0
11315-11293-11315,11293,11315,11315,0,0.0,0.0,0.0,0.0,0.0,-1.0
11308-11299-11300,11299,11308,11300,0,0.0,0.0,0.0,0.0,0.0,-1.0
11308-11299-44292,11299,11308,44292,-1,0.0,0.0,0.0,0.0,0.0,0.0
44292-11299-11300,11299,44292,11300,-1,0.0,0.0,0.0,0.3091862,0.0,0.0
44292-11299-44292,11299,44292,44292,0,0.0,0.0,0.0,0.0,0.0,-1.0
11323-11317-11323,11317,11323,11323,0,0.0,0.0,0.0,0.0,0.0,-1.0
11323-11317-73107,11317,11323,73107,-1,0.0,0.0,0.0,28.673542,0.0,0.0
73241-11317-11323,11317,73241,11323,-1,0.0,0.0,0.0,49.269291,0.0,0.0
73241-11317-73107,11317,73241,73107,0,0.0,0.0,0.0,0.0,0.0,-1.0
85215-11382-85215,11382,85215,85215,0,0.0,0.0,0.0,0.0,0.0,-1.0
85215-11382-85218,11382,85215,85218,-1,0.0,0.0,0.0,38.039612,0.0,0.0
85220-11382-85215,11382,85220,85215,-1,0.0,0.0,0.0,2.6464546,0.0,0.0
85220-11382-85218,11382,85220,85218,0,0.0,0.0,0.0,0.0,0.0,-1.0
11378-11384-85214,11384,11378,85214,-1,0.0,0.0,0.0,61.581635,0.0,0.0
11378-11384-85219,11384,11378,85219,0,0.0,0.0,0.0,0.0,0.0,-1.0
85214-11384-85214,11384,85214,85214,0,0.0,0.0,0.0,0.0,0.0,-1.0
85214-11384-85219,11384,85214,85219,-1,0.0,0.0,0.0,4.0859742,0.0,0.0
11404-11392-11405,11392,11404,11405,0,0.0,0.0,0.0,0.0,0.0,-1.0
