ID,JNODE,INODE,KNODE,TPF,DATA1,DATA2,DATA3
10781-10786-10793,10786,10781,10793,-1,0.0,0.0,0.0
10781-10786-86186,10786,10781,86186,-1,0.0,0.0,0.0
10782-10786-10782,10786,10782,10782,0,0.0,0.0,0.0
10782-10786-10785,10786,10782,10785,-1,0.0,0.0,0.0
10782-10786-10793,10786,10782,10793,-1,0.0,0.0,0.0
10782-10786-86186,10786,10782,86186,-1,0.0,0.0,0.0
10793-10786-10782,10786,10793,10782,-1,0.0,0.0,0.0
10793-10786-10785,10786,10793,10785,-1,0.0,0.0,0.0
10793-10786-10793,10786,10793,10793,0,0.0,0.0,0.0
10793-10786-86186,10786,10793,86186,-1,0.0,0.0,0.0
86186-10786-10782,10786,86186,10782,-1,0.0,0.0,0.0
86186-10786-10785,10786,86186,10785,-1,0.0,0.0,0.0
86186-10786-10793,10786,86186,10793,-1,0.0,0.0,0.0
86186-10786-86186,10786,86186,86186,0,0.0,0.0,0.0
10786-10793-10784,10793,10786,10784,-1,0.0,0.0,0.0
10786-10793-10786,10793,10786,10786,0,0.0,0.0,0.0
10792-10793-10784,10793,10792,10784,0,0.0,0.0,0.0
10792-10793-10786,10793,10792,10786,-1,0.0,0.0,0.0
86063-10798-86087,10798,86063,86087,-1,0.0,0.0,0.0
86063-10798-86088,10798,86063,86088,0,0.0,0.0,0.0
86087-10798-86087,10798,86087,86087,0,0.0,0.0,0.0
86087-10798-86088,10798,86087,86088,-1,0.0,0.0,0.0
10863-10862-10857,10862,10863,10857,0,0.0,0.0,0.0
10863-10862-10867,10862,10863,10867,-1,0.0,0.0,0.0
10863-10862-10868,10862,10863,10868,-1,0.0,0.0,0.0
10867-10862-10857,10862,10867,10857,-1,0.0,0.0,0.0
10867-10862-10867,10862,10867,10867,0,0.0,0.0,0.0
10867-10862-10868,10862,10867,10868,-1,0.0,0.0,0.0
10868-10862-10857,10862,10868,10857,-1,0.0,0.0,0.0
10868-10862-10867,10862,10868,10867,-1,0.0,0.0,0.0
10868-10862-10868,10862,10868,10868,0,0.0,0.0,0.0
10860-10868-10858,10868,10860,10858,0,0.0,0.0,0.0
10860-10868-10862,10868,10860,10862,-1,0.0,0.0,0.0
10860-10868-10869,10868,10860,10869,-1,0.0,0.0,0.0
10862-10868-10858,10868,10862,10858,-1,0.0,0.0,0.0
10862-10868-10862,10868,10862,10862,0,0.0,0.0,0.0
10862-10868-10869,10868,10862,10869,-1,0.0,0.0,0.0
10869-10868-10858,10868,10869,10858,-1,0.0,0.0,0.0
10869-10868-10862,10868,10869,10862,-1,0.0,0.0,0.0
10869-10868-10869,10868,10869,10869,0,0.0,0.0,0.0
10891-10890-10889,10890,10891,10889,-1,0.0,0.0,0.0
10891-10890-10892,10890,10891,10892,0,0.0,0.0,0.0
98007-10890-10889,10890,98007,10889,-1,0.0,0.0,0.0
98007-10890-10892,10890,98007,10892,-1,0.0,0.0,0.0
10955-10951-10954,10951,10955,10954,0,0.0,0.0,0.0
10955-10951-27000,10951,10955,27000,-1,0.0,0.0,0.0
27000-10951-10954,10951,27000,10954,-1,0.0,0.0,0.0
27000-10951-27000,10951,27000,27000,0,0.0,0.0,0.0
11300-11293-11308,11293,11300,11308,0,0.0,0.0,0.0
11300-11293-11315,11293,11300,11315,-1,0.0,0.0,0.0
11308-11293-11308,11293,11308,11308,0,0.0,0.0,0.0
11308-11293-11315,11293,11308,11315,-1,0.0,0.0,0.0
11315-11293-11308,11293,11315,11308,-1,0.0,0.0,0.0
11315-11293-11315,11293,11315,11315,0,0.0,0.0,0.0
11308-11299-11300,11299,11308,11300,0,0.0,0.0,0.0
11308-11299-44292,11299,11308,44292,-1,0.0,0.0,0.0
44292-11299-11300,11299,44292,11300,-1,0.0,0.0,0.0
44292-11299-44292,11299,44292,44292,0,0.0,0.0,0.0
11323-11317-11323,11317,11323,11323,0,0.0,0.0,0.0
11323-11317-73107,11317,11323,73107,-1,0.0,0.0,0.0
73241-11317-11323,11317,73241,11323,-1,0.0,0.0,0.0
73241-11317-73107,11317,73241,73107,0,0.0,0.0,0.0
85215-11382-85215,11382,85215,85215,0,0.0,0.0,0.0
85215-11382-85218,11382,85215,85218,-1,0.0,0.0,0.0
85220-11382-85215,11382,85220,85215,-1,0.0,0.0,0.0
85220-11382-85218,11382,85220,85218,0,0.0,0.0,0.0
11378-11384-85214,11384,11378,85214,-1,0.0,0.0,0.0
11378-11384-85219,11384,11378,85219,0,0.0,0.0,0.0
85214-11384-85214,11384,85214,85214,0,0.0,0.0,0.0
85214-11384-85219,11384,85214,85219,-1,0.0,0.0,0.0
11404-11392-11405,11392,11404,11405,0,0.0,0.0,0.0
11404-11392-85127,11392,11404,85127,-1,0.0,0.0,0.0
85092-11392-11405,11392,85092,11405,-1,0.0,0.0,0.0
85092-11392-85127,11392,85092,85127,-1,0.0,0.0,0.0
11438-11439-11438,11439,11438,11438,0,0.0,0.0,0.0
11438-11439-54033,11439,11438,54033,-1,0.0,0.0,0.0
54032-11439-11438,11439,54032,11438,-1,0.0,0.0,0.0
54032-11439-54033,11439,54032,54033,0,0.0,0.0,0.0
64061-11453-11451,11453,64061,11451,0,0.0,0.0,0.0
64061-11453-64653,11453,64061,64653,-1,0.0,0.0,0.0
64653-11453-11451,11453,64653,11451,-1,0.0,0.0,0.0
64653-11453-64653,11453,64653,64653,0,0.0,0.0,0.0
44298-11646-44483,11646,44298,44483,-1,0.0,0.0,0.0
11911-11648-11653,11648,11911,11653,-1,0.0,0.0,0.0
11911-11649-11911,11649,11911,11911,0,0.0,0.0,0.0
11911-11649-44472,11649,11911,44472,-1,0.0,0.0,0.0
11911-11649-44473,11649,11911,44473,0,0.0,0.0,0.0
44094-11649-11911,11649,44094,11911,-1,0.0,0.0,0.0
44094-11649-44472,11649,44094,44472,0,0.0,0.0,0.0
44094-11649-44473,11649,44094,44473,-1,0.0,0.0,0.0
11707-11705-11700,11705,11707,11700,0,0.0,0.0,0.0
11707-11705-11715,11705,11707,11715,-1,0.0,0.0,0.0
11707-11705-11716,11705,11707,11716,-1,0.0,0.0,0.0
11715-11705-11700,11705,11715,11700,-1,0.0,0.0,0.0
11715-11705-11715,11705,11715,11715,0,0.0,0.0,0.0
11715-11705-11716,11705,11715,11716,-1,0.0,0.0,0.0
11716-11705-11700,11705,11716,11700,-1,0.0,0.0,0.0
11716-11705-11715,11705,11716,11715,-1,0.0,0.0,0.0
11716-11705-11716,11705,11716,11716,0,0.0,0.0,0.0
11699-11711-11706,11711,11699,11706,0,0.0,0.0,0.0
11699-11711-11716,11711,11699,11716,-1,0.0,0.0,0.0
11699-11711-71052,11711,11699,71052,-1,0.0,0.0,0.0
11716-11711-11706,11711,11716,11706,-1,0.0,0.0,0.0
11716-11711-11716,11711,11716,11716,0,0.0,0.0,0.0
11716-11711-71052,11711,11716,71052,-1,0.0,0.0,0.0
71052-11711-11706,11711,71052,11706,-1,0.0,0.0,0.0
71052-11711-11716,11711,71052,11716,-1,0.0,0.0,0.0
71052-11711-71052,11711,71052,71052,0,0.0,0.0,0.0
11743-11732-11735,11732,11743,11735,-1,0.0,0.0,0.0
11743-11732-11743,11732,11743,11743,0,0.0,0.0,0.0
38009-11732-11735,11732,38009,11735,-1,0.0,0.0,0.0
38009-11732-11743,11732,38009,11743,-1,0.0,0.0,0.0
28159-11733-28159,11733,28159,28159,0,0.0,0.0,0.0
28159-11733-38091,11733,28159,38091,-1,0.0,0.0,0.0
93020-11733-28159,11733,93020,28159,-1,0.0,0.0,0.0
93020-11733-38091,11733,93020,38091,-1,0.0,0.0,0.0
11732-11743-11732,11743,11732,11732,0,0.0,0.0,0.0
